manu_sku,product_name,prod_page_url,updated_on,CASE,Price,Code
S-20491,Kraft Shipping Box 6x4x2,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.47, 0.43, 0.41, 0.37, 0.36]","['C', 'C', 'C', 'C', 'C']"
S-4582,Kraft Shipping Box 6x4x3,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.48, 0.45, 0.43, 0.39, 0.37]","['C', 'C', 'C', 'C', 'C']"
S-4060,Kraft Shipping Box 6x4x4,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.37, 0.37, 0.37, 0.37, 0.37]","['C', 'C', 'C', 'C', 'C']"
S-22103,Kraft Lightweight Shipping Box 6x4x4 (32 ECT Lightweight),https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.33, 0.33, 0.33, 0.33, 0.33]","['C', 'C', 'C', 'C', 'C']"
S-22630,Kraft Shipping Box 6x4x6,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.64, 0.58, 0.55, 0.52, 0.49]","['C', 'C', 'C', 'C', 'C']"
S-19038,Kraft Shipping Box 6x4x8,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.75, 0.7, 0.66, 0.61, 0.58]","['C', 'C', 'C', 'C', 'C']"
S-23286,Kraft Lightweight Shipping Box 6x5x3 (32 ECT Lightweight),https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.48, 0.43, 0.39, 0.36, 0.35]","['C', 'C', 'C', 'C', 'C']"
S-4512,Kraft Shipping Box 6x5x4,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.57, 0.48, 0.47, 0.45, 0.43]","['C', 'C', 'C', 'C', 'C']"
S-4704,Kraft Shipping Box 6x5x5,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.64, 0.57, 0.48, 0.47, 0.46]","['C', 'C', 'C', 'C', 'C']"
S-4307,Kraft Shipping Box 6x6x2,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.6, 0.54, 0.47, 0.46, 0.43]","['C', 'C', 'C', 'C', 'C']"
S-4780,Kraft Shipping Box 6x6x3,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.61, 0.55, 0.48, 0.47, 0.45]","['C', 'C', 'C', 'C', 'C']"
S-4061,Kraft Shipping Box 6x6x4,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.43, 0.43, 0.43, 0.43, 0.43]","['C', 'C', 'C', 'C', 'C']"
S-22104,Kraft Lightweight Shipping Box 6x6x4 (32 ECT Lightweight),https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.35, 0.35, 0.35, 0.35, 0.35]","['C', 'C', 'C', 'C', 'C']"
S-18171,White Shipping Box 6x6x4,https://www.uline.com/Product/GuidedNav?t=184360&dup=over,03-01-2025 16:46,"[25, 100, 250, 500, 1000]","[0.95, 0.8, 0.7, 0.69, 0.65]","['C', 'C', 'C', 'C', 'C']"
